Image,Dice Score,IoU,Recall,Hausdorff Distance
image_0,,,0.0,0.0
image_1,0.0,0.0,0.0,4.69041575982343
image_2,,,0.0,0.0
image_3,0.9226524101060619,0.46132620505303096,0.8690708252111761,3.0
image_4,,,0.0,0.0
image_5,,,0.0,0.0
image_6,0.8100824718318039,0.40504123591590196,0.7273675427617856,6.4031242374328485
image_7,,,0.0,0.0
image_8,0.9380302211359951,0.46901511056799755,0.9635959830050213,5.916079783099616
image_9,,,0.0,0.0
image_10,0.8334763948497854,0.4167381974248927,0.9482421875,4.69041575982343
image_11,,,0.0,0.0
image_12,,,0.0,0.0
image_13,,,0.0,0.0
image_14,,,0.0,0.0
image_15,,,0.0,0.0
image_16,0.875664572257129,0.4378322861285645,0.9674706301174796,6.082762530298219
image_17,0.0,0.0,0.0,5.291502622129181
image_18,,,0.0,0.0
image_19,,,0.0,0.0
image_20,,,0.0,0.0
image_21,0.8307401177460051,0.41537005887300255,0.8136326194398682,5.291502622129181
image_22,0.8725040307577825,0.43625201537889124,0.8562560856864654,5.916079783099616
image_23,,,0.0,0.0
image_24,,,0.0,0.0
image_25,0.8945127719962157,0.44725638599810785,0.955050505050505,2.6457513110645907
image_26,,,0.0,0.0
image_27,,,0.0,0.0
image_28,,,0.0,0.0
image_29,,,0.0,0.0
image_30,0.707768478132736,0.353884239066368,0.8035331905781584,5.830951894845301
image_31,,,0.0,0.0
image_32,,,0.0,0.0
image_33,,,0.0,0.0
image_34,0.0,0.0,0.0,8.366600265340756
image_35,,,0.0,0.0
image_36,0.0,0.0,0.0,6.48074069840786
image_37,,,0.0,0.0
image_38,,,0.0,0.0
image_39,,,0.0,0.0
image_40,0.0,0.0,0.0,4.69041575982343
image_41,,,0.0,0.0
image_42,0.0,0.0,0.0,6.48074069840786
image_43,0.7974870657797487,0.39874353288987435,0.6710199004975125,4.795831523312719
image_44,,,0.0,0.0
image_45,,,0.0,0.0
image_46,,,0.0,0.0
image_47,0.9209830608048566,0.4604915304024283,0.9749170812603648,2.8284271247461903
image_48,,,0.0,0.0
image_49,,,0.0,0.0
image_50,0.8083273510409189,0.40416367552045945,0.6933497536945813,4.47213595499958
image_51,0.8136593591905565,0.40682967959527827,0.9814890154597233,4.69041575982343
image_52,,,0.0,0.0
image_53,,,0.0,0.0
image_54,,,0.0,0.0
image_55,0.6518883415435139,0.32594417077175697,0.9375843454790823,4.123105625617661
image_56,,,0.0,0.0
image_57,,,0.0,0.0
image_58,,,0.0,0.0
image_59,,,0.0,0.0
image_60,,,0.0,0.0
image_61,0.0,0.0,0.0,6.324555320336759
image_62,,,0.0,0.0
image_63,,,0.0,0.0
image_64,,,0.0,0.0
image_65,,,0.0,0.0
image_66,0.7721021611001965,0.38605108055009824,0.838719512195122,6.4031242374328485
image_67,,,0.0,0.0
image_68,,,0.0,0.0
image_69,0.9486970684039088,0.4743485342019544,0.9633406835722161,5.196152422706632
image_70,,,0.0,0.0
image_71,,,0.0,0.0
image_72,,,0.0,0.0
image_73,0.970333130766256,0.485166565383128,0.9716751493693295,3.0
image_74,0.0,0.0,0.0,7.3484692283495345
image_75,,,0.0,0.0
image_76,,,0.0,0.0
image_77,,,0.0,0.0
image_78,,,0.0,0.0
image_79,0.9359220727585978,0.4679610363792989,0.9128748707342296,4.47213595499958
image_80,0.9108374562132101,0.45541872810660505,0.9958149084017688,4.69041575982343
image_81,0.932640856153604,0.466320428076802,0.9746710526315789,2.449489742783178
image_82,,,0.0,0.0
image_83,,,0.0,0.0
image_84,,,0.0,0.0
image_85,,,0.0,0.0
image_86,0.0,0.0,0.0,5.477225575051661
image_87,,,0.0,0.0
image_88,,,0.0,0.0
image_89,,,0.0,0.0
image_90,0.9119751908396947,0.45598759541984735,0.8728310502283105,3.7416573867739413
image_91,0.9562579013906447,0.47812895069532235,0.9469203805708563,3.3166247903554
image_92,,,0.0,0.0
image_93,,,0.0,0.0
image_94,,,0.0,0.0
image_95,,,0.0,0.0
image_96,,,0.0,0.0
image_97,0.9057437407952872,0.4528718703976436,0.940047554347826,4.123105625617661
image_98,0.9552859042553191,0.47764295212765956,0.9753903598099117,4.47213595499958
